run_id,started_at,command,resume,dry_run,skip_status,ok_rows,error_rows,skipped_rows,log_csv,log_html,profile
10-20-06,2025-12-30T10:20:06,autofill,True,True,False,10,0,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-20-06.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-20-06.html,config/profile.production.json
10-21-16,2025-12-30T10:21:16,autofill,True,True,False,0,11,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-21-16.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-21-16.html,config/profile.production.json
10-21-47,2025-12-30T10:21:47,autofill,True,False,False,0,10,0,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-21-47.csv,C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\logs\2025-12-30\log_sbr_autofill_10-21-47.html,config/profile.production.json
